user_id,customer_id,transaction_amount,transaction_type,transaction_date
a81332fd-3665-4dbc-a91f-6c7180b96869,bbff1372-488d-400f-8c91-8fe056fdaef4,4000,credit,2021-05-05
a81332fd-3665-4dbc-a91f-6c7180b96869,bbff1372-488d-400f-8c91-8fe056fdaef4,2000,credit,2021-05-17
40e7ecda-5567-4077-bba9-7b56ee2a16e3,bc2a59af-ef84-4d15-af77-526bb601992d,1090,credit,2021-06-18
40e7ecda-5567-4077-bba9-7b56ee2a16e3,bc2a59af-ef84-4d15-af77-526bb601992d,150,credit,2021-06-18
a81332fd-3665-4dbc-a91f-6c7180b96869,bc3f91d1-5460-4aaa-b67f-be310f4e8a6c,130000,credit,2021-05-07
9fce0e99-ea1a-440b-8721-193708f84a45,bc505879-bb51-4bfc-96d1-af918d48e752,3500,credit,2021-09-05
a596a204-79e6-4670-b1aa-baeaa70041c8,bc6fab71-6122-426d-8ad7-bb485754bb83,220,credit,2021-06-28
a596a204-79e6-4670-b1aa-baeaa70041c8,bc6fab71-6122-426d-8ad7-bb485754bb83,3790,credit,2021-06-21
a596a204-79e6-4670-b1aa-baeaa70041c8,bc6fab71-6122-426d-8ad7-bb485754bb83,60000,credit,2021-06-11
a596a204-79e6-4670-b1aa-baeaa70041c8,bc6fab71-6122-426d-8ad7-bb485754bb83,1510,credit,2021-06-21
a596a204-79e6-4670-b1aa-baeaa70041c8,bc6fab71-6122-426d-8ad7-bb485754bb83,1100,credit,2021-08-01
a596a204-79e6-4670-b1aa-baeaa70041c8,bc6fab71-6122-426d-8ad7-bb485754bb83,3790,credit,2021-06-11
a596a204-79e6-4670-b1aa-baeaa70041c8,bc6fab71-6122-426d-8ad7-bb485754bb83,22840,credit,2021-09-01
a596a204-79e6-4670-b1aa-baeaa70041c8,bc6fab71-6122-426d-8ad7-bb485754bb83,510,credit,2021-07-31
a596a204-79e6-4670-b1aa-baeaa70041c8,bc6fab71-6122-426d-8ad7-bb485754bb83,1993,credit,2021-04-05
a596a204-79e6-4670-b1aa-baeaa70041c8,bc6fab71-6122-426d-8ad7-bb485754bb83,10420,credit,2021-08-02
a596a204-79e6-4670-b1aa-baeaa70041c8,bc6fab71-6122-426d-8ad7-bb485754bb83,160,credit,2021-04-05
a596a204-79e6-4670-b1aa-baeaa70041c8,bc6fab71-6122-426d-8ad7-bb485754bb83,14500,credit,2021-06-26
a596a204-79e6-4670-b1aa-baeaa70041c8,bc6fab71-6122-426d-8ad7-bb485754bb83,2570,credit,2021-07-14
ebfda3a3-6b37-4626-8348-f3485ddd425b,bc87c74a-764f-4812-8cdf-3c45efb634f7,500000,credit,2021-07-20
5a929586-2291-45ba-bde9-fcfae8948d74,bcc94671-8e17-4d88-921e-5509b8bd2371,3000,credit,2021-03-22
5a929586-2291-45ba-bde9-fcfae8948d74,bcc94671-8e17-4d88-921e-5509b8bd2371,5000,credit,2021-03-22
5a929586-2291-45ba-bde9-fcfae8948d74,bcc94671-8e17-4d88-921e-5509b8bd2371,3000,credit,2021-04-06
97212561-e61a-45d2-a010-db6a0aeb379d,bcf64d87-f39b-4893-87cb-4306e440aab6,100000,credit,2021-08-08
97212561-e61a-45d2-a010-db6a0aeb379d,bcf64d87-f39b-4893-87cb-4306e440aab6,20000,credit,2021-09-03
